"","x"
"1","Algeria"
"2","Angola"
"3","Bahrain"
"4","Benin"
"5","Botswana"
"6","Burkina Faso"
"7","Burundi"
"8","Cape Verde"
"9","Cameroon"
"10","Central African Republic"
"11","Chad"
"12","Comoros"
"13","Congo (Brazzaville)"
"14","Congo (Kinshasa)"
"15","Cote d'Ivoire"
"16","Djibouti"
"17","Egypt"
"18","Equatorial Guinea"
"19","Eritrea"
"20","Eswatini"
"21","Ethiopia"
"22","Gabon"
"23","Gambia"
"24","Ghana"
"25","Guinea"
"26","Guinea-Bissau"
"27","Iran"
"28","Iraq"
"29","Israel"
"30","Jordan"
"31","Kenya"
"32","Kuwait"
"33","Lebanon"
"34","Liberia"
"35","Libya"
"36","Madagascar"
"37","Malawi"
"38","Mali"
"39","Malta"
"40","Mauritania"
"41","Mauritius"
"42","Morocco"
"43","Mozambique"
"44","Namibia"
"45","Niger"
"46","Nigeria"
"47","Oman"
"48","Qatar"
"49","Rwanda"
"50","Sao Tome and Principe"
"51","Saudi Arabia"
"52","Senegal"
"53","Seychelles"
"54","Sierra Leone"
"55","Somalia"
"56","South Africa"
"57","South Sudan"
"58","Sudan"
"59","Syria"
"60","Tanzania"
"61","Togo"
"62","Tunisia"
"63","Uganda"
"64","United Arab Emirates"
"65","West Bank and Gaza"
"66","Yemen"
"67","Zambia"
"68","Zimbabwe"
